Model,Souce,Comment,dependable,attractive styling,safe,drive comfort,prestigious,fuel efficient,affordable
Escape,KBB,"My back tires were completely bald at 29,552 miles. In my
opinion they put cheap tires on them from factory and they don’t last.",0,0,0,0,0,0,0
Equinox,KBB,Quality and lack of support from GM on issues.,0,0,0,0,0,0,0
CR-V,KBB,I enjoyed the heated seats and driving it.,0,0,0,1,0,0,0
CR-V,KBB,Never had any problems with this car.  Handled very well in snow and rain. Very comfortable and fun to drive and got 32 Mpg. Just got hit from behind and was in rollover accident on the highway  that totaled my car. All 6 airbags deployed. My daughter and I walked away from it without any injuries.,0,0,1,1,0,1,0
Sportage,KBB,"Don't get me wrong, 99 percent of people will probably find this car comfortable enough for them but at 6-3 and 300 Lb's its a little too cramped. The car has plenty of power and is surprisingly nimble considering it is not a sports car. The turbo edition is definitely  worth the extra money as is the all wheel drive. The AWD makes it handle really well when we get those huge rains here in Florida.",0,0,0,-1,0,0,0
Tucson,KBB,"Utilitarian, practical",1,0,0,0,0,0,0
CR-V,KBB,"I own a Touring so it’s fully loaded. I love my sun roof. I have added things in the car such as; TVs in the head rest, car locator, radar detector, electric and a car starter. I have owned the car for six months and completely love it. I call it my Mercedes. Things that scare me is lane assist and the braking system when it to detects that you’re not driving safely. So far I would not change anything about this car and I’ve had no problems. However, I did get the extended warranty not everybody could afford it though. But I would definitely recommend it.",1,0,0,0,0,0,0
CR-V,Cars,This vehicle is very similar to the one I traded in for it with the exception this one is All Wheel Drive. I had nothing but praise for the vehicle I traded in and I expect this one to be the same.,0,0,0,0,0,0,0
Bronco Sport,Edmunds,A spunky 4wd that rides like a car❤️,0,1,0,0,0,0,0
Tucson,KBB,"Electronics not reliable, needs more power",0,0,0,0,0,0,0
Rogue,Edmunds,I had a 2018 Rogue for three years and never had to do any service to it besides oil. I just got my 2021. This is my 25 day having it and it again has to be serviced. First time my low engine malfunction came on and apparently there will be a recall for it soon. Now my remote start doesn't work and its -33 windchill right now.  Super disappointed since I loved my old rogue. Need some reliability.,0,0,0,0,0,0,0
Rogue,KBB,Love the look & red color ( which costs more).,0,1,0,0,0,0,0
Escape,KBB,It’s a nice looking car . Handles great in snow and ice . Good gas mileage. Trade in value after a year is more than I paid for the vehicle. I bought it for my granddaughter and she loves it. I feel she’s in a very safe vehicle.,0,0,1,0,0,0,0
Tucson,Cars,"So comfortable, easy to drive, spacious, good in millage, good stereo.
It has the blind spot alert, alert if something is crossing behind you, front seats are heated. Digital AC.",0,0,1,1,0,1,0
CR-V,KBB,Noisy when going over bumps,0,0,0,0,0,0,0
Equinox,Cars,"We are enjoying our new Equinox. Love the styling. The storage compartment in the console is higher than in my last vehicle, so my elbow knocks into it when I use cup holders. This will not be a problem as I get used to it being there.",0,0,0,1,0,0,0
Escape,KBB,It’s a nice looking car . Handles great in snow and ice . Good gas mileage. Trade in value after a year is more than I paid for the vehicle. I bought it for my granddaughter and she loves it. I feel she’s in a very safe vehicle.,0,0,1,0,0,0,0
Tucson,Edmunds,Smooth ride...getting 33mpg which is better than suggested which is great..nice storage area and rides very well.,0,0,0,0,0,1,0
CX-5,Edmunds,"At 55, after buying Fords, a Maserati, and two Nissans and having driven Hondas, Toyotas and several sports cars and SUVs, I purchased my first Mazda based on commercial site reviews.  Looking for safety, reliability, and a great price with a loaded car.  Wanted to down size.  Thought I had found it in the CX-5. My test drive was short. My fault. Because I realized after driving the CX-5 the first day I bought it that that the front seats are beyond terrible. If you are over about 50 or have shoulder or back problems, avoid this car. The seats will make you suffer. We just got back from a 5 hour both ways vacation drive with less than 150 miles on the car starting out and by the time we got back we want to sell it even for a loss. Our backs and shoulders ached the whole time. The seats are so stiff, have no leg room support, and are so ergonomically painful, that no engineer who designed the seats could have driven any time in them or is a moron. We have since researched seat issues with this car and unfortunately  now know that this is a huge issue with this car. Hard to believe that a car company could design a beautiful, highly equipped, reliable and safe car that is ruined by its horrible car seats. We will be selling this brand new car at a loss because it hurts our backs and shoulders and nothing is more miserable than trying to drive a distance in pain because of short, rock hard seats.",0,-1,-1,-1,0,0,-1
Bronco Sport,Cars,"Fun, peppy and stylish. Many high tech and safety features. also a hoot to take offroad even if not an experienced off roader. Remote start feature nice",0,1,0,0,0,0,0
RAV4,KBB,"I traded my 2011 FJ cruiser for a brand new Rav4 Hybrid Limited. My first thought was, wow, I did not know how smart these cars had become! Overall fit and finish of car are very nice. My only complaint would be the aggressiveness of the torque in the engine. The vehicle is snappy, but not nearly as much as it could be. A bigger battery and more power would make this a sporty car. Still fun to drive, and I enjoy the creature comforts!",0,1,0,0,0,0,0
RAV4,KBB,Takes 4.5 hours to charge at 240 volts 15.6 amps,0,0,0,0,0,0,0
Escape,KBB,"I  owned a 2016, equinox and it was under a lease, i should have kept it, i loved that vehicle, but I went and gave it back and purchased a 2019, well it was the worst mistake of my life, I hate this new one, it doesn't have it own design, it looks like all the other smaller SUV's from other Manufacturers, but to keep it short, the only things I like about this vehicle is the All Wheel Drive, gas mileage, BlueTooth",0,0,0,0,0,-1,0
CR-V,Cars,"I just got the car 2 days ago but I’m in love with it, what a smooth drive and love all the features. I can’t wait to really start driving it around",0,1,0,1,0,0,0
Escape,KBB,"I have the Equinox 1LT, sticker price 29,745 (approx).
  I am extremely happy with the driving of this vehicle, much better than expert reviews detail. MPG for my 1.5 front wheel drive is 31.7 over approx 3200 miles. Very satisfied with this. Plenty of power for me, I am not a speed demon and want good MPG vs Power. Excellent set up with the 2018 Equinox w/ 1.5 liter.
  Interior is very nice, drives great. I-phone connection works great. Could be a better GPS set up. 
  Recommend this vehicle for anyone looking for moderate priced, good looking, great driving, well built driving machine.
  My best to you.",0,0,0,1,0,1,0
CR-V,KBB,"Excellent car, it just about drives it self. No issues with it.
It has self control lights which I love so you don't have to mess with them. Great seats contours to your back so it helps on a long trip. Amazing car.",1,0,0,1,0,0,0
Tucson,Cars,"So far this vehicle has all the features I need, handles well and gives one a good view of the road. Gas mileage is also pretty good,",0,0,0,1,0,1,0
Tucson,KBB,"Electronics not reliable, needs more power",0,0,0,0,0,0,0
Rogue,Edmunds,Well I haven’t purchased the rogue yet but I do test drive it ! My husband and I test drove a Kia Sorento it was nice . We are trying to really take time and make sure we get one that’s right for the family he has a new Chevy truck! So we decided to test a few out that rated well ! So we had to drive to Jamestown NY. Since there’s no Nissan dealer near us in Pennsylvania! There’s one in Hornel NY. But we decided to go to Jamestown those two were the closest. Well we loved the Rogue everything about it ! The looks and the feel . Room is spacious! I’m surprised the one guy wrote he was 6 ft 1 talk and 240 lbs and was cramped because I’ve watched you tube videos on it and the one guy was 6 ft 1 or 2 and he said he was around 240 or 250 those were his words in the video he fit just fine with plenty of room he did adjust the steering wheel so it came out more ! But I know some people say it’s not speedy but I found it fun to me and my husband it’s beautiful that’s for sure and very solid ! I already have everything picked out for it once we test drive a few more ! To see  Honda we haven’t yet or Toyota  and Hyundai ! That will be it !! But I did look them all up and the Nissan looks so much better but my husband said I just can’t go by looks well I said you can by comfort cuz I honestly don’t know how the others are going to beat the rogue on that !!! A+++++!! Great job Nissan !,0,0,0,1,0,0,0
Rogue,Cars,Awesome Best suv i ever drove from day one drove quite an amount of miles  that day to ride Very comfortable and an awesome ride,0,1,0,1,0,0,0
RAV4,KBB,Great hybrid driving experience and fun to drive.,0,0,0,0,0,1,0
Equinox,KBB,Quality and lack of support from GM on issues.,0,0,0,0,0,0,0
Rogue,KBB,"Favorites:
1. Zero gravity seats.  No more aching behind or restricted blood flow on longer rides.  I wish my apt was full of these.
2. Panoramic sunroof.  Lots of light.  it's huge.
3. Interior.  so sophisticated from the mini shifter embedded in scratched woodish materials.  The leather wrapped steering wheqQd",0,1,0,1,0,0,0
CX-5,KBB,"Fun to drive, stylish, good car in snow",0,1,0,0,0,0,0
Tucson,KBB,Showing 15 of 100 reviews.,0,0,0,0,0,0,0
Tucson,Cars,Very excited with my choice!  Just what I was looking for!  Great teamwork at the dealer Napletons Hyundai. They will make you feel important & walk through all with you.,0,0,0,0,0,0,0
CR-V,KBB,Love this car…my second one…best bang for your buck. I’m not a big or tall guy and fit very comfortably in drivers seat.. I got the EX middle of the line model and the price was excellent and affordable…just have what I need and use daily…,1,0,0,1,0,0,1
RAV4,KBB,Loved driving my car!!!,0,0,0,0,0,0,0
Rogue,KBB,Had few months and few options to decide on a car before I went with Rogue. Platinum model has all the bells and whistles you would want in a crossover. It has the best interiors and quietist interior cabin compared with CRV and Rav4. Seats are great and amazing for long distance drives. Ride quality is fine for this class and has the best Gauge cluster screen.,0,0,0,1,0,0,0
RAV4,KBB,Run smooth great on gas mileage and I love the style of  the car. It was great to have all wheel drive especially with all the snow we had this year and handles great in the rain. The backup camera is a plus and the cargo space is great you can fit a lot of things in there.,1,0,0,0,0,1,0
CX-5,Cars,"This car drives really well, and has an interesting color on the exterior. The interior red leather is also very pretty and the various mechanisms and accessories are very well designed. I need to learn how to use the electronic attachments.",0,1,0,1,0,0,0
CR-V,KBB,"We bought a 2017 CRV touring about 2 weeks ago. Took a trip to Jacksonville Florida from Maryland last week. Round trip was about 1500 highway miles. Its winter so no AC was used.  We have 2200 miles on it right now and we are getting 26.1 mpg and its going down. Its suppose to get 29 combined. 26 is not bad but when your expecting 29 its not good. We traded a 2016 CRV in and that was getting 24, it was suppose to get 27.
   We love everything else about it. The redesign inside and out is so much better than the 2016. It looks like a real SUV now. The leather seats are very comfortable. There is plenty of room in the backseat. There are a lot of nice safety features
   But if your looking for the 29mpg i dont think you will get it.",0,-1,0,-1,0,-1,0
Tucson,Edmunds,"I have had my 2021 Tucson Limited for about a month, after driving a Subaru Legacy for a decade. So far, County me impressed. I love the extra room and safety features on the Tucson. The leather trim and heated seats provide a touch of luxury.
The lengthy warranty offers peace of mind, and my dealer includes free oil changes for life. All signs of the quality of the vehicle.
The front window offers a great view but the rear view is slightly obscured by the back seat head rests.
There is more than enough pep in the engine for me, but there is a slight drop in fuel economy. The only other quibble is the wind noise when it is howling outside... not unbearable but noticeable.
I anticipate loving my Hyundai for many Mike’s to come.",1,0,0,1,0,0,0
Bronco Sport,Cars,I have owned many vehicles in my life but the bronco sport badlands is by far one of the best most reliable vehicles I have ever owned.,1,0,0,0,0,0,0
CR-V,KBB,Excellent design. 1.5L turbo 4 cylinder a must.,0,0,0,0,0,0,0
RAV4,KBB,Fun to drive,0,0,0,0,0,0,0
Rogue,Edmunds,"I read all of these reviews before purchasing vehicle.   I purchased a Rogue SL AWD.  I am pleased with the vehicle the only dislikes are a glitchy Apple play only works part of time with Bluetooth connect, but always works when plugged in.  The other Dislike is the front camera cuts in and out when parking vehicle in garage. My favorite part of the Rogue is the styling, the SUV looks great.  Despite my dislikes I would recommend the car as it is a great value compared to the other top rated Compact SUV.",1,0,0,0,0,0,0
CR-V,KBB,"We bought a 2017 CRV touring about 2 weeks ago. Took a trip to Jacksonville Florida from Maryland last week. Round trip was about 1500 highway miles. Its winter so no AC was used.  We have 2200 miles on it right now and we are getting 26.1 mpg and its going down. Its suppose to get 29 combined. 26 is not bad but when your expecting 29 its not good. We traded a 2016 CRV in and that was getting 24, it was suppose to get 27.
   We love everything else about it. The redesign inside and out is so much better than the 2016. It looks like a real SUV now. The leather seats are very comfortable. There is plenty of room in the backseat. There are a lot of nice safety features
   But if your looking for the 29mpg i dont think you will get it.",0,-1,0,-1,0,-1,0
Tucson,Cars,"I’ve wanted the Tucson for quite some time and finally decided to purchase it. I couldn’t be happier! It’s stylish, roomy, comfortable and drives like a dream.",0,0,0,1,0,0,0
Rogue,Cars,"A nice overall improvement  (gas mileage not included) from my previous 2018 Rogue.  All the ""bells and whistles"" needed to enjoy a comfortable ride from here to there.",0,0,0,1,0,0,0
RAV4,KBB,Great reliability and value.,1,0,0,0,0,0,0
Tucson,Cars,Very nice SUV that has a lot of comfortable upgrades. Handles well on the freeway and has plenty of safety features. Heated seats are a real plus and I would highly recommend that upgrade.,0,0,1,1,0,0,0
Bronco Sport,Edmunds,Had  power train malfunction warning lights going off as I was driving it off the lot. Warning lights go off every-time I drive it. Was in shop 3 weeks of the 1 month I owned it. Ford refusing buyback . I tell anyone & everyone I know not to buy a Bronco because Ford doesn’t back their cars.,0,0,0,0,0,0,0
Forester,Cars,Did not answer Reliability as I just got it but the reviews are good.  So far I really - really like it!  The more i drive it the more it seems to fit me better.  Not a fan of a CVT but this has pep without using the sport drive.  Lots of nice soft surfaces in this vehicle which is really nice.  Great stereo system.  Handles really great!  Gas mileage is really good for AWD.,0,0,0,1,0,0,0
Tucson,KBB,"We really liked our 2020 Tucson until the problems started. We have the Limited version with all leather interior and all of the features that came standard were great. It rides great and is quieter than our last several vehicles. Financing was 0% for up to 84 months. Bought it new in June 2020. 3 months later the outside temperature sensor began showing it was below freezing when it was 80+ degrees outside preventing the air conditioner from running. After 3 trips to the dealer trying to diagnose the problem, replacing the ambient temperature sensor, and finally a computer control module, and the heater control, it was fixed. Ended up leaving it at the dealer for a total of 4 weeks. Things were good for almost a year then the remote start and other remote actions quit working. Dealer did diagnostic that showed no problems. Blue link uses the Verizon cell phone network (not satellite) and they told us we were in a weak reception area. However when we first got it the remote actions worked fine. Our daughter’s Hyundai works sitting next to ours that doesn’t even in a good reception area where she lives. Within a few days the touchscreen would only show the Hyundai symbol and the radio would play and go off constantly. Took it to the dealer and they ordered a new touchscreen/radio. Still waiting for the part and now the battery started going dead. Took it back to the dealer where it is right now. They suspect that the radio is shorting out and causing a drain on the battery. It also may be the problem with the remote actions. Can’t complain about the dealer’s service manager and service department as they have treated us very well giving us two different brand new loaner vehicles when they have kept our car and working to get the car fixed. But I believe we got a lemon that was built during the pandemic and we wonder what will be next, but we can’t afford to trade it without losing money.",0,0,0,-1,0,0,0
CR-V,Cars,"This CRV model provides us with  greater visibility of the road ,it is fully equipped with all the safety features and a easier way of carrying items than a sedan.",0,0,1,0,0,0,0
RAV4,KBB,"Buying a 2021 RAV-4 was one of my dreams as a Camry owner for 10 years.. and with whatever Camry offers i was led to believe RAV-4 would offer far more options.. decided to buy the XLE model knowing its the luxury model..!! but guess i was WRONG.
after making the deal and driving the car home.. discovered no options from the ones i have in my 2009 LE Camry exist in the 2021 XLE RAV-4....
the trunk doesn't open from inside.. you cant remote lift trunk gate.. no rain sensing wipers.. all the basic stuff are not there and they calls it XLE.
called dealer back and the reply was all these EXTRAs comes in packages for me to pay for which put me in shock till today. not happy at all.",0,0,0,0,0,0,0
CX-5,KBB,Interior space,0,0,0,0,0,0,0
Bronco Sport,KBB,"This is the 3rd ""Bronco"" model I have owned.    I love the look of the vehicle. I am a big man and I am very comfortable in short and long drives.  I am impressed by the get up and go it has.
One small annoyance is the automatic engine shutoff.  I disable it every time I drive.  I would like to be able to disable full time.",0,0,0,0,0,0,0
Sportage,KBB,Wind noise at highway speeds,0,0,0,0,0,0,0
Rogue,KBB,"Good gas mileage in ECO, infotainment, A/C, Safety",0,0,1,0,0,1,0
RAV4,KBB,"Very hard to buy one I wanted a new one and dealers would not sell to out of state buyers.  I bought one new from Carvana had to drive to Raleigh NC to get it.  I was determined to buy this car.  I had a charge station installed so it was ready when I got the car (the charge product was a ""Juice Box 32"" which charges the car just fine.  With charge station it will go from 0% to 100% in about 4+hours.  If you just drive locally the meter says it will go 45 miles on a single charge.  I wanted the XSE but had to settle for an SE.  I plug it in at night and it ready to go the next day.  If you can find one buy it I paid about $5K over MSRP used I am a very happy person.",0,0,0,0,0,0,0
Equinox,KBB,Quality and lack of support from GM on issues.,0,0,0,0,0,0,0
RAV4,KBB,Takes 4.5 hours to charge at 240 volts 15.6 amps,0,0,0,0,0,0,0
CR-V,Cars,"This vehicle is the most comfortable one I have ever owned! It has met all my exceptions! Plenty of room, loaded with all the safety features, fantastic looks and great fuel economy! I am sure it will met all my needs and will be a reliable suv.",1,1,0,1,0,1,0
Sportage,KBB,"Would defintely buy This SUV again.
Great SUV. Bought it in 2017 and no problems at all.
Inside interior looks new.",1,1,0,0,0,0,0
Sportage,KBB,"I love my 2018 Kia Sportage !!  I have taken it on a few road trips and it has not disappointed !
The ride is smooth, very comfortable and the gas mileage was fair. I reall like this car.",0,0,0,1,0,0,0
RAV4,KBB,Fun to drive,0,0,0,0,0,0,0
Sportage,KBB,wish gas tank was bigger,0,0,0,0,0,0,0
Sportage,Edmunds,"It's a solid vehicle. The car handles well, and has very good acceleration. Front and back seats have decent room, and the cabin overall feels solid and looks good. Instrument panel is very well lighted up as are turn signals, etc. The trunk is a bit small but it works for me.  I get 23 mpg overall.   I get 30 mpg or more on highway using eco mode and cruise at 62 mph. It's a really nice car.",1,1,0,1,0,1,0
RAV4,KBB,"It’s a Toyota so it will last a long time with minimal problems. The car itself is comfortable and looks nice. The only downside is that the vehicle sounds at all times like multiple pieces are loose on the interior… there are rattles in the cabin from every direction that cannot seem to be found or fixed. If noises bother you, this one will definitely be a deal breaker.",-1,-1,0,-1,0,0,0
Rogue,KBB,Not enough room to list.,0,0,0,0,0,0,0
Tucson,KBB,Looks nice,0,0,0,0,0,0,0
CR-V,KBB,The added luxuries. The stereo is really loud/good,0,0,0,0,0,0,0
Sportage,Cars,"I really like the ""cockpit"" of the Sportage. Everything is at your fingertips and easy to see and read. It rides beautifully and looks great.",0,0,0,0,0,0,0
Sportage,Cars,"I just finished out my lease of a 2018 Sportage and leased a new 2021 Sportage. I absolutely LOVE this car! I especially like the look of the grill and rims on the newer model!!! It is a beast in the snow. I also love the new,  standard features like Android Auto!",0,1,0,0,0,0,0
Sportage,KBB,Fun to drive,0,0,0,0,0,0,0
CX-5,Edmunds,Feels like a much more expensive car than it is. Mazda has a lot of nice touches built in to the vehicle.,0,1,0,1,0,0,0
Sportage,KBB,"Fun, cute, good handling, roomy",0,1,0,0,0,0,0
Sportage,KBB,Doesn't have Adaptive cruise control.,0,0,0,0,0,0,0
RAV4,KBB,"Buying a 2021 RAV-4 was one of my dreams as a Camry owner for 10 years.. and with whatever Camry offers i was led to believe RAV-4 would offer far more options.. decided to buy the XLE model knowing its the luxury model..!! but guess i was WRONG.
after making the deal and driving the car home.. discovered no options from the ones i have in my 2009 LE Camry exist in the 2021 XLE RAV-4....
the trunk doesn't open from inside.. you cant remote lift trunk gate.. no rain sensing wipers.. all the basic stuff are not there and they calls it XLE.
called dealer back and the reply was all these EXTRAs comes in packages for me to pay for which put me in shock till today. not happy at all.",0,0,0,0,0,0,0
CR-V,KBB,Noisy when going over bumps,0,0,0,0,0,0,0
Escape,KBB,Showing 15 of 96 reviews.,0,0,0,0,0,0,0
RAV4,KBB,"Buying a 2021 RAV-4 was one of my dreams as a Camry owner for 10 years.. and with whatever Camry offers i was led to believe RAV-4 would offer far more options.. decided to buy the XLE model knowing its the luxury model..!! but guess i was WRONG.
after making the deal and driving the car home.. discovered no options from the ones i have in my 2009 LE Camry exist in the 2021 XLE RAV-4....
the trunk doesn't open from inside.. you cant remote lift trunk gate.. no rain sensing wipers.. all the basic stuff are not there and they calls it XLE.
called dealer back and the reply was all these EXTRAs comes in packages for me to pay for which put me in shock till today. not happy at all.",0,0,0,0,0,0,0
Equinox,KBB,"Have driven this car for a year. Love it,
Want to buy it. Good looking car. 
Want quote to see if worth buying.",0,1,0,1,0,0,0
RAV4,Edmunds,"I have owned so many cars in my lifetime but never a Toyota. I have bought used cars, cars that were just junk and I have bought new cars and most of them have let me down and failed prematurely. My background in the Military required an immense ability for attention to detail and trust me when I say that when something wasn't right with my vehicle, I knew it. Everything from the steering, to braking, to subtle noises and even distinctive smells that should not be coming from under my engine compartment that certainly hinted at trouble to come.
That being said, I can honestly say that I was thoroughly impressed with the workmanship and quality that was noticeable immediately when inspecting the exterior and interior of my new Rav4. You can feel it when you are driving in the response of the vehicle the way it handles, the way the steering feels in your hands and the purr of the motor you feel under your feet. You just get the sense that this car is going to last and is a worthy investment of safety and peace of mind. If you are considering a Rav4...don't even hesitate...go drive one and I am willing to bet, you will buy it. They are truly amazing vehicles.",1,0,1,1,0,0,0
CX-5,KBB,"We've owned numerous Mazdas.  All good!  This SUV is great as well.  Unfortunately there is a known oil consumption issue due to redesigned oil value seals creating excessive oil usage between oil changes.  (a quart) My dealer recommends keeping quarts of oil in the suv at all times.  This can begin at as low as 2000 miles.  Mazda is aware of it, but there is no known fix for the problem at this time.  A TSB has been issued.  This is in ALL 2021 Mazda's with the turbo engine.  My 2021 CX5 has 5400 miles, no known issues, but its just a matter of time.  Ive decided to trade mine in for a 22 with the non turbo engine.  My wife's 2015 has had 101,000 trouble free miles.  Beware. I was not aware of the issue when I bought it.",0,0,0,0,0,0,0
Sportage,KBB,Thieves like it too,0,0,0,0,0,0,0
Rogue,KBB,"Just got the car but wanted to share my experience so far. This is my first new car purchase. I have the SV trim. My previous car was a 2007 Toyota Corolla, so this has been a big upgrade. I am not all that concerned with power and performance as a driver, but I wanted AWD with a decent MPG. I am a tall woman and I have no issues with legspace. Comfort, visibility, safety features, technology/infotainment, A/C are all great. 

Gas mileage is very good because I drive in ECO mode all the time. I am getting 31 on the highway with the A/C on. Around 27 average city type driving (stop signs and traffic lights).

I love the infotainment. I use Android Auto with Waze, and the Sirius XM app through the phone to access additional music channels that the factory provided Sirius XM does not have. Also I have the Amazon Music app, which works great through the bluetooth.

There is free remote start, but you have to be physically close to the car for it to work, unless you continue the NissonConnect app subsciption which becomes 9-10 dollars/month after a short trial period.

I may add heated seats before next winter, but I am not used to having them so we'll see.

Its a bit early to rate reliability and value.",0,0,0,1,0,0,0
CX-5,KBB,"I just purchased a 2017 Mazda CX-5 Grand Touring AWD with all the bells and whistles and I must say - wow - color me very impressed.  

I have only put about 150 miles on it so far, but in this short time it has been nothing short of stunning.  This vehicle hits way above its weight class, it feels more like an 80k SUV rather than a 40k SUV.  

In typical Mazda fashion (and like the previous generation CX-5), the driving dynamics are simply spectacular for a crossover. It handles like it weighs a thousand lbs less than it does, the electric-steering actually has some tactile feedback that most other numb electric steering vehicles simply lack, and bonus - the ride is substantially improved over the last generation CX-5.  No more jolting shots through the spine when hitting a bump or a pot hole.  But that handling - wow.  Slicing through the Colorado canyons is a blast, it feels like a sports car.  But this is nothing new for Mazda.

Then there is all the little things - refinement details that only a small company like a Mazda can do that the large companies seem to miss for the same price category; great soft interior materials all around, excellent french stitching, perfectly centered steering wheel, well placed knobs and buttons, multiple USB ports both front and back, heated seats, heated mirrors, heated steering wheel, and everything inside just feels like it was designed to revolve around the driver.  

The amount of sound deadening they used vs the previous gen has really paid off as well, as the road noise is basically nill and the engine noise is lessened.  

The 2.5L Skyactiv naturally-aspirated inline 4 in this refresh has a beautiful throaty sound for a 4-banger, and it pulls very linearly on both ends.  Throttle response from a dead stop is a bit laggy requiring more throttle than I prefer, but I am hoping a custom tune helps with that. Other than that, this engine has plenty of pickup, so I am not really quite sure why it gets panned so much for not having enough power - it has plenty to move this machine around.  Oh and the transmission has been excellent so far - very firm quick shifts without a hint of harshness. 

Where it really stands out over the previous gen though is in the technology.  Beautiful 7 widescreen display on the dash operated by a dial on the center console (simply the easiest way to use such a system), backup camera and GPS navigation that shows on display, stop & go radar that really works, automatic high/low beam LED adaptive headlights that bend with the turn, and an active heads-up display that projects the vehicle speed onto the windshield.  It will even display upcoming road signs on the windshield, as well as upcoming turns and distance until target for the navigation. It has lane-assist and blind spot technology too, but I find most of that to be more annoying than helpful.  Thankfully nearly everything can be enabled or disabled in the settings, along with various sensitivity settings.

Overall after spending many years previously driving boring and bland crossovers, this SUV just makes driving FUN again. Do yourself a favor - even if have a recent previous gen CX-5 - and run over to your local Mazda dealer for a test drive.  You wont regret it.",0,0,0,1,0,0,0
RAV4,KBB,"We bought this beautiful 2021 Hybrid Limited Rav4. The next day... it didn't start! Called Roadside assistance, they jumped it, we took it to the dealership, they didn't find a problem. Two days later, the car didn't start, called roadside assistance, they jumped the car. Next day, the car didn't start, called roadside assistance and got it towed to the dealership. Within a week, we called roadside assistance 3 times. Needless to say, it is a beautiful car, but something is draining the battery. It is NOT a reliable car, please don't be fooled and lured into buying it. You don't want to be in our position right now, so that is why I am writing this. It is a horrible feeling to be stuck and stranded, even the keyfob wasn't working. No, it is not us forgetting to the shut the door, or keeping a light on. All the lights, radio, defroster everything is turned off before we shut the car off, but it is as if the car isn't shutting off?  We started videoing and recording this too as evidence. Toyota needs to read these reviews and take them seriously before consumers take actions towards them. They need to check the customers who have called for roadside assistance in the last few months and see the evidence there too and take action and do right by their customers versus waiting for them to take action first.",0,-1,0,0,0,0,0
Equinox,Cars,"I have owned this vehicle for less than 2 weeks, so the car and I are still getting acquainted with each other. Although the ride could be more smooth, the car is performing well and I believe it is a good value for the price point. Key features  that appealed to me:  the car is easy to get in & out of plus the gauges & screen graphics are an optimum size for viewing. The car has ample leg room for both the driver and passengers. The Equinox is not too big or too small—just a great Goldilocks size for maneuverability. Happy owner so far!",0,0,0,0,0,0,0
Sportage,KBB,The recalls were a concern. Dealership fixed it.,0,0,0,0,0,0,0
Sportage,KBB,"NO quiet ride,seating narrow,enter/exit no ease",0,0,0,0,0,0,0
Escape,KBB,"Busy drive, no start /stop switch, Basic radio",0,0,0,0,0,0,0
CX-5,Cars,EVERYTHING OUR SALESMAN MIKE HEINTZ FROM WERNER MAZDA IN MANCHESTER NH SAID WAS TRUE. THIS VEHICLE HAS MORE STANDARD OPTIONS THEN MOST OTHERS . IT IS LUXURIOUS WELL BEYOND ITS PRICE RANGE. DON'T SELL YOURSELF SHORT. MAKE SURE YOU TEST DRIVE THIS ONE,1,0,0,0,0,0,0
CR-V,Cars,"It is a good vehicle, economical, reliable, with good appearance both inside and outside, good technology, it is soft and hard for the situation it deserves, it is comfortable, I love this vehicle",1,1,0,1,0,0,0
Equinox,KBB,"Very quiet, 31mpg over last 15k miles. Smooth ride, too. Purchased new for $20k. Tows my utility trailer with 1300 lb load with no problem.",1,0,1,0,0,1,0
RAV4,KBB,Great hybrid driving experience and fun to drive.,0,0,0,0,0,1,0
CX-5,KBB,Sharp driving experience,0,0,0,0,0,0,0
Sportage,KBB,The engine is not noise at all,0,0,0,0,0,0,0
Tucson,KBB,Design needs work,0,0,0,0,0,0,0
Equinox,Edmunds,Great car comfortable and inexpensive has everything you need a new more.  Cajun Red is beautiful.  Gas mileage is superb.  Can’t miss on the Equinox Premiere with AWD,0,0,0,1,0,0,1
RAV4,KBB,"Great car . I've upgraded my 2016 rav 4 at 80.000 miles because my transmission switched- had no choice I bought only available car my dealer had and it was 2021 rav 4 hybrid. Completely different car then older one . Pleasure to drive, very comfortable seats , love my light gray interior ( much better then black in my 2016) car is so quiet so I sometimes forget it’s on and leave with out turning off. Power is as well great",1,1,0,1,0,0,0
RAV4,Edmunds,"Too truckish to be a Camry Station Wagon.  Much more road noise than a Camry. Road bumps more jolting. More road vibration in the steering wheel. Highway directional stability not as good.  Upper door panels hard plastic even on the XLE. Despite these lack of Camry like characteristics and refinements, I found the Rav4 competitive with a Subaru Forester I rented.  

I believe shoppers looking for a medium sized SUV with Camry levels of quietness and ride comfort and seat comfort should look at the Toyota Venza which has great user reviews.",0,0,0,-1,0,0,0
Sportage,KBB,Thieves like it too,0,-1,0,0,0,0,0
RAV4,KBB,I have had my Toyota for 3 years now and I thoroughly enjoy driving it.  It has been a Winner in my book!,0,0,0,0,0,0,0
RAV4,KBB,Little bit underpowered for what it could be.,0,0,0,0,0,0,0
CR-V,KBB,Showing 15 of 241 reviews.,0,0,0,0,0,0,0
Sportage,KBB,It's a great vehicle but the Kia customer service is extremely poor on all levels.,0,0,0,0,0,0,0
Escape,KBB,Nice ride,0,0,0,0,0,0,0
RAV4,KBB,"very quick and responsive 219 hp, roomy and quiet,comfortable, fun to drive
BONUS...COASTAL SOUTH CAROLINA DRIVING...CONSTANT 44.7 MILES PER GAL
AMAZING ...BEEN DRIVING TOYOTAS FOR 44 YEARS",1,0,0,1,0,1,0
